Product category,Product/Service,Memo/Description,COSTO FALCON,costo jesus,,,,,
Antifreeze,   00-CR50,Antifreeze Coolant Red 50/50 (Bulk),"2,4",3,,,,,
Antifreeze,   00-CG50,Antifreeze Coolant Green 50/50 (Bulk),"2,4",3,,,,,
Antifreeze,   00-CGD50,Antifreeze Coolant Gold 50/50 (Bulk),"2,4",3,,,,,
Antifreeze,   00-CCR,Antifreeze Coolant Red Concentrated (Bulk),4,5,,,,,
Antifreeze,   00-CCC,Coolant Concentrate Clear (Bulk),4,5,,,,,
Antifreeze,   00-CCG,Coolant Concentrate Green (Bulk),4,5,,,,,
Antifreeze,   02-CR50,Antifreeze Coolant Red 50/50 (55 gal Drum),164,205,,,,,
Antifreeze,   02-CG50,Antifreeze Coolant Green 50/50 (55 gal Drum),164,205,,,,,
Antifreeze,   02-CB50,Antifreeze Coolant Blue 50/50 (55 gal Drum),164,205,,,,,
Antifreeze,   02-COR50,Antifreeze Coolant Orange 50/50 (55 gal Drum),164,205,,,,,
Antifreeze,   02-CGD50,Antifreeze Coolant Gold 50/50 (55 gal Drum),164,205,,,,,
Antifreeze,   02-CU50,Antifreeze Coolant Gold Universal  50/50 (55 gal Drum),164,205,,,,,
Antifreeze,   02-CCUN ,Antifreeze Coolant Gold Universal Concentrado  (55 gal Drum),247,"308,75",,,,,
Antifreeze,   01-CCGD,Antifreeze Coolant Concentrated Gold (5 gal),30,,,,,,
Antifreeze,   02-CCGD,Antifreeze Coolant Concentrated Gold (55 gal),247,"308,75",,,,,
Antifreeze,   02-CCR,Antifreeze Coolant Concentrated Red (55 gal),247,"308,75",,,,,
Antifreeze,   02-CCOR,Antifreeze Coolant Concentrated Orange (55 gal),247,"308,75",,,,,
Antifreeze,   02-CCG,Antifreeze Coolant Concentrated Green (55 gal),247,"308,75",,,,,
Antifreeze,   02-CCB,Antifreeze Coolant Concentrated Blue  (55 gal),247,"308,75",,,,,
Antifreeze,   06-PWCR50,Powergard Red 50/50 Antifreeze Coolant (Case 6x1Gal),24,32,,,,,
Antifreeze,   06-PWCG50,Powergard Green 50/50 Antifreeze Coolant (Case 6x1Gal),24,32,,,,,
Antifreeze,   06-PWCGOLD50,Powergard Gold 50/50 Antifreeze Coolant (Case 6x1Gal),"39,36","52,48",,,,,
Antifreeze,   06-COR50,Antifreeze Coolant Orange 50/50 Antifreezee Coolant  (Case 6x1Gal),29,"38,66666667",,,,,
Antifreeze,   06-PWCCR,Powerguard Red Concentrated Coolant (Case 6x1Gal),33,44,,,,,
Antifreeze,   06-PWCCG,Powerguard Green Concentrated Coolant (Case 6x1Gal),33,44,,,,,
Antifreeze,   06-PWCCGOLD,Powerguard Gold Concentrated Coolant (Case 6x1Gal),0,0,,,,,
CLEANERS,   01-HDD,Heavy Duty Degreaser (5 gal Pail),"35,32","44,15",,,,,
CLEANERS,   01-SS,Standard Shampoo (5 gal Pail),"28,96","36,2",,,,,
CLEANERS,   01-SPW-01,Solvent 142 (5 gal Pail),"30,2","37,75",,,,,
CLEANERS,   01-ALBR - 01,Aluminum Brightener Concentrated (5 gal Pail),"41,24","51,55",,,,,
CLEANERS,   01-BDS,Blue Dressing (5 gal Pail),"69,6",87,,,,,
CLEANERS,   01-MS,Mineral Spirit (5gal Pail),41,"51,25",,,,,
CLEANERS,   02-ALBR,Aluminum Brightener (55 gal Drum),"384,48","480,6",,,,,
CLEANERS,   02-HDD,Heavy Duty Degreaser (55 gal Drum),"286,28","357,85",,,,,
CLEANERS,   02-SPW-01,Solvent 142 (55 gal),300,375,,,,,
CLEANERS,   02-BCNC,Brake Cleaner Non Chlorinated (55 gal Drum),330,"412,5",,,,,
CLEANERS,   02-DEF,Diesel Exhaust Fluid (55 gal Drum),"228,58","285,725",,,,,
CLEANERS,   02-SS,Standard Shampoo (55 gal Drum),"219,83","274,7875",,,,,
CLEANERS,   02-MS,Mineral Spirit (55 gal),370,"462,5",,,,,
CLEANERS,   04-JNBCNC,Johnsen's  Brake Cleaner Non Chlorinated (Case 12x14oz),"23,88","29,85",,,,,
CLEANERS,   04-JNSF,Johnsen's  Starting Fluid 50% (Case 12x10.7oz),"25,88","32,35",,,,,
CLEANERS,   04-JNCC - 02,Johnsen's  Carb cleaner (Case 12x16.25oz),"30,68","38,35",,,,,
CLEANERS,   03-HDD,Heavy Duty Degreaser (30 gal Drum),"170,1","212,625",,,,,
Filter - units,   01-POF111,POF 111 (UNIT),"1,32","1,65",,,,,
Filter - units,   01-POF195,POF 195 (UNIT),"1,35","1,6875",,,,,
Filter - units,   01-POF4006,POF 4006 (UNIT),"1,33","1,6625",,,,,
Filter - units,   01-POF4459,POF 4459 (UNIT),"1,37","1,7125",,,,,
Filter - units,   01-POF4476,POF 4476 (UNIT),"1,33","1,6625",,,,,
Filter - units,   01-POF5288,POF 5288 (UNIT),"1,41","1,7625",,,,,
Filter - units,   01-POF5608,POF 5608 (UNIT),"2,31","2,8875",,,,,
Filter - units,   01-POF5702,POF 5702 (UNIT),"3,18","3,975",,,,,
Filter - units,   01-POF6127,POF 6127 (UNIT),"2,63","3,2875",,,,,
Filter - units,   01-POF6296,POF 6296 (UNIT),"2,98","3,725",,,,,
Filter - units,   01-POF6311,POF 6311 (UNIT),"2,47","3,0875",,,,,
Filter - units,   01-POF6128,POF 6128 (UNIT),"2,63","3,2875",,,,,
Filter - units,   01-POF5335,POF 5335 (UNIT),"3,19","3,9875",,,,,
Filter - units,   01-POF5839,POF 5839 (UNIT),"2,26","2,825",,,,,
Filter - units,   01-POF241,POF 241 (UNIT),"1,33","1,6625",,,,,
Filter - units,   01-POF 5609,POF 5609 (UNIT),"3,23","4,0375",,,,,
Filter - units,   01-POF 2222,POF 2222 (UNIT),"1,33","1,6625",,,,,
Filter - units,   01-POF 1A,POF 1A  (UNIT),"1,71","2,1375",,,,,
Filter - units,   01-POF - 2500,POF 2500 (UNIT),"1,33","1,6625",,,,,
Filter - units,   01-POF - 252,POF 252 (UNIT),"1,99","2,4875",,,,,
Filter - units,   01-POF - 4612,POF 4612 (UNIT),"1,33","1,6625",,,,,
Filter - units,   01-POF - 4631,POF 4631 (UNIT),"2,1","2,625",,,,,
Filter - units,   01-POF - 4670,POF 4670 (UNIT),"1,45","1,8125",,,,,
Filter - units,   01-POF5250,POF 5250 (UNIT),"2,1","2,625",,,,,
Filter - units,   01-POF5247,POF 5247 (UNIT),"4,02","5,025",,,,,
Filter - units,   01-POF5274,POF 5274 (UNIT),"2,15","2,6875",,,,,
Filter - units,   01-POF5313,POF 5313 (UNIT),"1,58","1,975",,,,,
Filter - units,   01-POF 5317,POF 5317 (UNIT),"2,44","3,05",,,,,
Filter - units,   01-POF5401,POF 5401 (UNIT),"2,97","3,7125",,,,,
Filter - units,   01-POF - 257,POF 257 (UNIT),"1,9","2,375",,,,,
Filter - units,   01-POF4011,POF 4011 (UNIT),"1,42","1,775",,,,,
Filter - units,   01-POF6291,POF 6291 (UNIT),"2,18","2,725",,,,,
Filter - units,   01-POF4484,POF 4484 (UNIT),"1,95","2,4375",,,,,
Filter - units,   01-POF4610,POF 4610 (UNIT),"1,35","1,6875",,,,,
Filter - units,   01-POF4615,POF 4615 (UNIT),"1,41","1,7625",,,,,
Filter - units,   01-POF4651,POF 4651 (UNIT),"1,35","1,6875",,,,,
Filter - units,   01-POF4757,POF 4757 (UNIT),"2,45","3,0625",,,,,
Filter - units,   01-POF4798,POF 4798 (UNIT),"3,98","4,975",,,,,
Filter - units,   01-POF5276,POF 5276 (UNIT),"1,91","2,3875",,,,,
Filter - units,   01-POF5277,POF 5277 (UNIT),"3,41","4,2625",,,,,
Filter - units,   01-POF5280,POF 5280 (UNIT),"2,99","3,7375",,,,,
Filter - units,   01-POF5308,POF 5308 (UNIT),"3,13","3,9125",,,,,
Filter - units,   01-POF5309,POF 5309 (UNIT),"2,1","2,625",,,,,
Filter - units,   01-POF5436,POF 5436 (UNIT),"1,6",2,,,,,
